Language,Precision,Recall,F1-score
ru,0.8755760368663594,0.6713780918727915,0.7600000000000001
ukr,0.5888888888888889,0.7910447761194029,0.6751592356687899
byr,0.7254901960784313,0.6583629893238434,0.6902985074626866
