Language,Precision,Recall,F1-score
ru,0.9393939393939394,0.8763250883392226,0.9067641681901281
ukr,0.7946127946127947,0.8805970149253731,0.8353982300884956
byr,0.8929889298892989,0.8612099644128114,0.8768115942028986
